,문장,혐오 여부
14301,"@호성성님 전라도, 축구영상에 정치성향 드러냄",0
14302,@수코타이 센다이 후쿠시마임 ㅋㅋㅋ 니 같으면 가겠냐,2
14303,@BloodChina ㅋㅋ 북한이랑 사이좋게 미국핵맞고 먼지가 돼라,2
14304,미국에 간 주목적이 바로 저거였군.,2
14305,"그동안 여기저기 적폐청산을 이유로

무당 칼춤 추는것들에게서

위안화 지린내가 오지게 나는걸 볼수있다

중국 위안화 쳐망하길",2
14306,당연히 같은 대깨문 보지년들한테 잘보이려고 그러는거지 븅신아,3
14307,나만 그런가 저 놈보면 전라도 냄새가 나...,0
14308,김치녀들은 강간당해도 싸서 ㅁㅈㅎ,3
14309,난 진심 이반도는 망해서 사라져야한다고생각한다 중국이나 일본이 아무리미워도 이반도놈들은 그들과비교조차할수가없을 만치 추잡스럽다,2
14310,현실판 이태원클라스네 훌륭한 아버지와 자신의 신념을 굽히지 않는 자식,1
14311,"중국 까야 돈 번다.



친중하다 죽지말고 ^^",2
14312,이런거 영상으로 좀 만들어보자,1
14313,@익명02df8e 응.좇까 씨발 좇선족 새끼야,0
14314,@스티븐유 뭐 안하는놈도잇냐,0
14315,사실은 미국으로 보내서 우주선으로 쏘아올림,2
14316,와이프한테 안주면 50씩 저축해서 1500모앗겟네,3
14317,ㅁㅍ 올해는 잭스하게 해주세요!,1
14318,"@익명_3a3154 이새끼 부러우라고 글 쓴거네 씹새끼야 ㅋ

나도 여자 3명끼고 과제 해봤다 익이야~

하는거 ㅈ도 없으면 밥이라도 잘 사세요

회의때마다 음료 꼬박꼬박 사오고~

+마이구미 마이쮸",3
14319,"너무 팩트라 반박할게 없노 ㅋㅋㅋㅋㅋㅋ
ㅇㅂ",1
14320,준표형이랑 놀아서 그래... 부모 배경도 흙수저고...,1
14321,낙타...,3
14322,아이린 같은 년보단 나음 인기 많지만 페미 인증한 스타 아이돌들 보다 훨씬 낫다,1
14323,"기사가 없자나
죽을래?",1
14324,"한국도 문재인을 패싱하고싶다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ

존나웃기노",2
14325,본질과 취지는 나쁘지않음,1
14326,@말하다가끊 ㅇㅇ빅픽처,0
14327,양씨 = 전 라 도,3
14328,홍어는 답은 하나다 그냥 폐식용유뿌려 튀겨죽여야지,1
14329,아무도 관심 없드라 이거 ㅋㅋㅋㅋ,1
14330,@치아의요정 그래서 느그애미 개씹창 호로 창년보지 맛좀봐도 될까?,3
14331,"올해 8.15엔 미국에 대한 고마움 1이라도 표현하려나

맨날 쓸데없는 독립군 새끼들이나 쳐빨던데

정작 해방은 미국 덕",2
14332,"중국이 땅은 존나 넓은데 바다가 존나좁아

그래서 남쪽으로는 동남아랑 바다로 ㅈㄴ 싸우는거고

한국에 친중정부 세우려고 발악하는것도 바다 태평양때문임

미국은 그걸 견제하기위해 일본을 최우방으로 삼는거고

한국도 도와주는거임

한국은 그 태평양의 교두보기때문이지

거기다 한국은 일본과 다르게 중국 러시아를 접하기때문에

유사시 전진기지로 쓰일수가 있음

이게 미국이 한국이 똥쌀때마다 도와주는 이유임",2
14333,@까불까불 너 홍자 좋아하니 ?,0
14334,"저런애들이 권력잡아봐라
온 여자다따먹고다니지",3
14335,자국민 난도질해서 죽인 조선족이나 변호해주던 감성팔이전문 변호사가 뭘알겠냐,1
14336,일본 >>>>짱깨>>>>>한국,2
14337,아냐 ㅂㅅ아 ㅁㅈㅎ,0
14338,@시진핑좆대가리 난 그반댈세 문흐엉은 도망가고 그걸빌미로대통령제폐지 중국속국의회가 무한총리돌리는 내각제가목표인듯 그게중국과도흡사하고 국민들로부터 대통령투표권한회수함ㅋㅋ,2
14339,@VARSACE 그기 먼디?,0
14340,응 2베 줬다,0
14341,미친새끼 좌빨코인 언제까지가나 보자,1
14342,생긴대로 노는거지 뭐,0
14343,시발 이건 뭐 하나의 실화를 바탕으로한 문학작품이네,1
14344,@홍어싸만코 300그람 4인분을 혼자서 어케먹냐? 너 홍어지?,1
14345,"아픈 몸에도 대통령의 탄핵무효를 외치시던 때가
엊그제 같은데 별나라로 가신지 벌써 ~",1
14346,어쩔수없어 김치년은 다 죽이는게답임,3
14347,갓아메리카,1
14348,"보지도 같다고?
이게 실화냐",3
14349,"2015년 아무것도 아니다. 진.눈머에서 좇족 여론조작 10년 전부터 다 알고 있었음

아 물론 시작은 2000년대 중반부터고 ㅋㅋㅋ",1
14350,이글에 짱들짱들 하는 짱깨들 겁나 많네,2
14351,"https://m.sports.naver.com/news.nhn?oid=108&aid=0002679416&m_view=1&sort=LIKE
댓글중국인",2
14352,"조선족들은 경상도 뿌리에 있는 화전민들이 기원이야

그리고 조선족들과 엮이기 싫고 조선족들을 중국인이라 생각한다면

""조선족"" 이라는 명칭 대신 ""연변족""이라 부르기 바람



""조선족""이라는 명칭은 결국 같은 조선땅의 핏줄 동포라는 의미가 내재되어 있는데

반면 ""연변족""은 중국 지역명으로서 단순 중국에 거주하는 소수민족이라는 뜻으로 해석되기 때문이다",2
14353,"쟤네가 참가 안하는 이유
러시아-도핑문제로 걸려서 밴당함
중국-참가 해도 되긴 하지만 사드문제 확실히 짚고넘어가게 협박중 진짜 참가 안해도 중국은 그닥 상관은 없음
일본-북한이 꼬이는걸 존나 싫어함. 한국보다도 북한 싫어하는게 일본임. 북한이 진짜 참가하면 일본 안올 가능성 농후
미국-문재앙이 중국에게 굽실 북한에게 굽실 하는게 빡쳐서 안옴 사실 4국가중 제일 중요한데 친중친북땜에 안옴ㅋㅋㅋ 시바ㅋㅋㅋ",2
14354,착한 모자이크 ㅇㅂ,3
14355,한국에 있긴함?ㅋㅋㅋ,0
14356,병신 짱깨들은 뒤져도 싸다 ㅋㅋㅋㅋ,2
14357,"줄리 리치, 두유 노우 김치?",3
14358,잘리면 뭐해먹고사냐 막막하겠다...,0
14359,"@요게이촉수강간 천안 부촌 많어



평택보다 훨씬 좋아",3
14360,정성은 ㅇㅂ,0
14361,@닛타미나미 물론 영화는 공짜로 집에서 봄. 그냥 엄복동이 동생 죽을때도 좀 슬펏고 반일영화라는 점에서 감동먹음. 사상검증: 문재인개새끼 중국몽 시발련,2
14362,다른건 모르겠는데 저항의식 뿡뿜 자막은여자가 넣은거 확실함,3
14363,@익명2192ea ㅋ ㅆㅂ 틀딱코인 냄새가 벌써부터나노. 이대로하면 시청율 30퍼센트는 그냥 먹겠다 이기.,1
14364,"화웨이는 그져 평범한 중국의 민간기업이다.

화웨이는 민간인 출신이 설립한 중국기업이다.

화웨이는 군부와 전혀 연관이 없다.

화웨이는 비교적 좋은 순수독자적 기술을 가진 회사다

화웨이는 중국에서 가장 경쟁력 있는 회사이며 세계에서 가장 도덕적이고 상도에 어긋난적이 없는 신뢰성이 높은 회사다.

화웨이를 미국은 극도로 부러워 하며 미국의 모든 회사와 화웨이를 바꾸고 싶어 한다.",2
14365,@빠구리아노한잔 짱깨 고홈,2
14366,"돈은 무한으로 유입되고 그 범위 내에서 나눠디는거지

어떻게 형수보지는 유입은 생각 안하고 순환만

생각했을까 ㅋㅋㅋㅋ",3
14367,나 장난안치고 이걸로딸침,1
14368,"저 입은 뭐라고 불러야 좋을까?
내 동년배들 중에는 저런 표정 가능한 청년이 아무도 없다",1
14369,"니가 프로필을 저걸로 설정해서 차단 먹은건지

다른걸로 차단 먹어놓고 주작하는건지 알 방법이 있냐 ㅁㅈㅎ",1
14370,여자가 요직에앉으면 나라가 망한다,3
14371,@익명f6d6aa 경찰서에서 보자,3
14372,김무성 시발 차이나머니 처먹은 배신자새끼,1
14373,분홍티 와이프임??,3
14374,"결혼을 이 여자랑 하냐 마냐를 고르는 기준은 어떤 문제가 발생했을 때 어떻게 문제를 풀어가느냐에 있다.

이 글에서의 키 포인트는 6년간 보지 못한 여자의 인성이 (결과적으로)사소한 문제 때문에 드러났다는 거다. 결혼 생활 하면서 겪게 될 네임드는 1. 결혼준비 2. 부모님 문제 3. 출산 이후 인데, 이미 여자가 1단계 네임드에서 궁극기 썼다는게 문제다. 2단계, 3단계 궁국기는 머가 나올지 모르는 상황이다. 참고로 1단계 넴드에서 궁극기 쓴 여자는 2단계, 3단계 네임드에서 더 큰 궁극기를 쓰게 되는데, 궁극기는 갈수록 더 세진다는거 잊지 말아라. 내가 볼때, 1단계에서 '말투+승질+소리를 지르더라 ' 정도의 궁 스킬이면, 2단계에서는 'semi-욕 스킬' 이며, 3단계부터는 '결혼 괜히 했다' 말 나온다.",3
14375,미국도 민주당새끼들이 부패하노,2
14376,ㅇㅂ 준다,0
14377,"사기꾼들의 특징은....임기응변에는 강함.
그런데 논리적으로 사실관계를 따져가면 전혀 들어맞는것이 없슴.

지금의 경제환란도 , 북한환적문제도,
동맹국협정위반과 국제협정위반문제도.

법전공한 대통령부터 장관까지.
모두가 합리적이고 논리적으로 답변하면되는데 모두 그걸거부하고
불매운동, 반일, 반미운동에 올인함.

국제패싱하고 남은것은 중국인민해방국의 입성뿐임.
------
중국인민해방군 한국점령훈련박차./http://news.chosun.com/site/data/html_dir/2019/08/22/2019082203502.html

중국인민해방군 한국점령훈련강화/http://news1.kr/articles/?3613346

17만인민해방군 한반도점령을 위한 야간,주간 훈련 맹훈중/https://news.joins.com/article/22897297

조국의 투자회사는 중국공산당회사 /http://www.ilbe.com/view/11192298990",2
14378,구글본사에찌르면 알아봐줄거같은데 일단반미하면 미국못가잖아,2
14379,"@슨상의은혜 그게 말장난이지 씨발ㅋㅋㅋㅋㅋ
후보군에 김현아??ㅋㅋㅋㅋㅋ씨발
탄핵정국에 자기 탈당시켜달라고 애원했던 그 비례김현아???",1
14380,저런 무모함과 도전정신이 서양의 힘의 원천임,1
14381,심사할 수준의 여자가 없다가 먼저인데..,3
14382,"홍어, 짱깨, 인도, 베트콩 이 네가지 족속들은 갈기갈기 찢어 불에 태워죽여도 시원찮은 버러지 새끼들임",2
14383,첫짤존나웃기노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
14384,"한국 여성 일부에게 남성성이 있다고? 행동 싸가지없이 하고 입에 걸레물고 말하는게 남성성이 아니다.

한국에서 인정받아온 남성성의 핵심이 뭐냐면 주체적 자립심, 책임감, 대범하고 시원한 인성,
눈치(일을 위한 눈치와 대인관계 단체생활용 눈치), 단체생활에 맞는 (상명하복적)배려심이다.
그중에서도 중요한게 특히 책임감이다. 한마디로 한국에서 남자다운 남자란건,
'눈치있게 한사람 몫을 다하고 난 다음 쪼잔한거 신경 안쓰고 눈치&포용력있게 남까지 안고 끌어주는 시원한 놈'이었단거다.

그런거중에 딱 하나라도 '그런 여성 일부'에게 있냐면 응 없어. 한국 남성성의 최소한인 책임감조차 없어. 지금도 책임감없다고 욕쳐먹고 있잖아.
책임감 이전에 남자답다면 최소한의 생활력이 있고 억척스럽기라도 해야 되는데, 뭔 일만 있으면 오또케 오또케 하면서 오빠찾는것들이 남성스럽긴 개뿔이.

남자새끼가 뭔 일 있을때 그러면 바로 이상한놈 된다. 내면적으로 남자 아닌거 아니냐 하는 소리까지 들어.
그런데도 그딴짓만 하는 애들보고 '남자력이 강하다' '남자를 닮았다'고 하면 그건 진짜 남자들 엿멕이는거다.
말이나 행동을 싸가지없게 하는건 남자 여자나 다 하는거고, 그건 남녀 모두에게 있는 병신성일 뿐임.
그런 애들은 남성스러운게 아니라 걍 땍땍대는거야. 단지 새로운 장르 새로운 방식으로 땍땍대는것 뿐이지.",3
14385,"이거야말로 국기문란죄로 탄핵감이다 ㅎㄷㄷ
전라도 홍어 견찰청창 민갑뇽 10새끼",0
14386,"@익명0294da 전세계가 미국하고 맞짱떠도 미국이 이길 수는 없어도 지지는 않는다.

이세상에 제대로된 군사력 가지고 있는 나라는 20개국 밖에 안된다.",2
14387,그래봐야 북한에 나라 팔아먹은 문쩝쩝 발끝에도 못따라옴,2
14388,닉을 왜 더럽게 만드는지 에효,0
14389,타이완 남바완,2
14390,자랑 한다는 게이들도 보지같이 ㅈㄹ 하네,3
14391,@바이올렛남편 히키코모리,3
14392,"이런넘들이 자녀들은 미국에 유학보내고 미시민권자로 만들더라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ

김일성 종합대학으로 유학은 절대 안보냄",2
14393,"전라도 때문에 버젓이 저런놈들이
아직도 권력을 누리는게... 슬프다..
진짜 정의가 사라진 대한민국...
전라도...너무도 혐오스럽다..",0
14394,타임지 가짜뉴스 유포로 고발할껄 ㅋㅋ,1
14395,그럼 우리도 성폭행당하는거보면 너무 충격받아서 도망간다고 해야겠당ㅠ,3
14396,"틱톡ㅋㅋㅋㅋㅋ
짱개 플랫폼ㅋㅋㅋㅋ",2
14397,"미국ㆍ일본도 매년수만명 발생하는 인플루엔자 사망이
수십년간 단 1건도 없었고
싱가폴, 태국, 미얀마도 분리하여 WHO에 보고하는 인플루엔자 바이러스 분리 건수도 수십년간 0였던 머한민국이다",2
14398,@순규순규 역적 매국노들 하고 싶은거 하다 죽는다. ㅇㄱㄹㅇ,2
14399,ㅜㅠ 두고두고 다시 평가 되는 갓카,1
14400,ㅋㅋ 반일충들 일본싫어하는 이유 일제강점기 들먹임ㅋㅋㅋ,1
14401,@정보글씁니다 하와이 불바다 만든담에 태평양 일대를 점령하면 미국 애들이 쫄아서 총력전은 안걸겠지라고 행복회로 돌린거임 실제로 실무진에선 미국이랑 총력전하면 2년안에 일본 개박살날꺼라고 했고 야마모토 제독도 진주만 때린다고 하니까 ㅁㅊ새끼들이 돌았나하는 반응이였음 군수뇌부놈들이 될때로되겠지 행복회로 돌리다가 일어난 대형참사,2
14402,애미뒤진씨발새끼가 중국에 몰래 수출해쳐먹다가 들통나니까 그제서야 멈춘것도 쏙 들어감 ㅋ,2
14403,"미국 '중국 파괴할 능력있다' 겠지 또 얼굴 개좆같이생겨가지고
반대로 처말하네",2
14404,머리가 나쁘면 몸이 고생한다더니....,1
14405,@노팩트그냥사실 상대가 이유가 있어서 도와주는 것일지라도 도움을 받았을땐 고마워해야 하는거 아닐까. 좌파놈들이 미국이 바보라서 도와주는게 아니라고 지네 이익때문이니까 안 고맙다고 할때마다 난 어이가 없음.,1
14406,ㅋㅋㅋ븅신새끼 간첩질도 적당히 했어야지 그걸 대놓고 갖다 퍼주냐 ㅋㅋㅋ 피융신 ㅋㅋㅋㅋㅋㅋㅋㅋ,2
14407,"부모가 유대인임.
미국에 유대인 커뮤니티 대단한 로비단체임",2
14408,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ좃족대깨문 노리노리둥절,2
14409,@이혼보다비혼 ㄹㅇ,3
14410,@끌바여신바이올렛 ㅋㅋㅋ ㅇㅈ,3
14411,"@익명_6d43b6 ㅋㅋㅋ 아니 쟤도 어쩔 수 없는 한국여자인거같다

민주화가 아름답고 좋은소리지 ㅋㅋㅋ

근데 민주화만생각하고

조국의 자유는 생각을 못함

민주화 좋은거지 그런데 민주화가 다인줄암

미국을 왜 동경하고 거기로 가서 성공하고싶고 살려고하는지에 대한거는 생각을못함 생각을해도 그냥 거기에대한 환상일뿐이지 현실을보려함 그게 현실인데 웃긴거지ㅋㅋ

피해자라기보다

그냥 선동당한사람일뿐 그이상 이하도아님",3
14412,taiwan no.1,0
14413,"@익명294562 부들부들은 얼어죽을 짱깨새끼인지 전라도 홍어 씨발놈인지 모르겠지만
병신스럽네",0
14414,"한국 30대 씨벌련들은
왜 저리된거냐???
대가리빠가에 성형존나쳐하고
남자에 빨대 존나꼽고....
저당시 무슨일이 있었냐?",3
14415,@메이더포스비윗유 아나운서출신이다 무시ㄴㄴ,1
14416,@중국은바퀴벌레 쩝쩝... 그질문은 받지읺겠습니다,2
14417,고우시다....,3
14418,이딴거 재업이딴거 없이 ㅈㅈㅂ 존나본거 일베가는거보면 압도적으로가는거보면 빨렙아디들사서 분탕잘치면 일베 존나재밌겠다,1
14419,@말하다맘 ㅋㅋ,0
14420,북한인줄 알았다,2
14421,배현진 결혼하면 안찍어,3
14422,쟤들 목적은 적화통일이다 북한으로부터 최고인민혁명동지 칭호를 받는것이 사는 이유임,2
14423,미친새끼 뽕 흡입했놐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,3
14424,굿잡,0
14425,북한이 개입했네. 수고링,2
14426,정치성향 알기전엔 존나 팬이었는데 개탄식..,1
14427,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,0
14428,아싸 팝콘각,3
14429,"@한다이 ㅋㅋㅋㅋㅋㅋ일때문에 자주방문함.



거기 진돗개 키우는데 용맹함



여자보면 안짖는데 남자보면 미친듯이 짖어댐",3
14430,"@익명8467a2 유승준은 중국 딴따라짓 해서 앞으로 힘들꺼야.

조언을 하자면 중국과의 꽌시 돈거래 끊는 것이 우선이다.

중국의 피 장기 묻은 검은 돈은 그 피값을 치룬다이기야.

이미 약점잡혀서 노예짓 할 수도 있지만 뭐 ㅇㅇ",2
14431,코박,0
14432,동남아년들도 키는 작아도 다리는 길던데,2
14433,"중국입장에선 이이제이지
하여간 조선놈들 중간에 껴서 이용만당하는 병신들",2
14434,"좆같은 새끼들 내마누라만 고생시키고 바보만드네
다조져야겠다 씨팔
내가 김성태 폭행범이었다면 이왕후린거 강냉이 다털어버렸겠다",1
14435,ㅋㅋㅋㅋㅋㅋㅋ 개웃기네,3
14436,2편 보다가 f5누르니 사라졌노 다시 올려달라 이기..,1
14437,"문죄인이 주적 북괴한테 뒤에서 석탄사주고



오리발내밀고 불만은 미국이 더많겠다.",2
14438,중국인만 막지말고 문재인도 막아야한다,2
14439,안전화ㅇㅂ,1
14440,애미뒤진새끼 나이처먹고 눈수술이나처하고 씨발새끼 나짝만봐도 짱깨 북괴혼혈 상이네 씨발줫같은새끼 뒤져,1
14441,"역시 고대
그래도 내 자식은 연대보내야지.",1
14442,와 시발 미국 18년살앗는데 몰랐다 ㅇㅂ,2
14443,너덜너덜보지걸레년이네,3
14444,"진짜 꽃도못펴보고죽었네...
아 진짜 울분이치민다
문재인 저 개새끼",1
14445,저번에 어떤 일게이가 여자 뒤따라 가면서 무빙딸 즐긴다는 새끼 있었는데 ㅋㅋㅋㅋ 갑자기 생각나노ㅋ,3
14446,"@I.삼일한.U 그럼 사드 도입이 잘못한 일임? ㅋㅋㅋ

그냥 중국이 양아치짓 하는거지 병신 짱깨좆빨러년아 ㅋㅋ",2
14447,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ웃음만 ㅋㅋㅋ,3
14448,저 새끼는 박쥐임,1
14449,@익명1f22c1 ??,0
14450,"@욕하고사과함 대깨문 머릿속에는 일루미나티, 미제 자본주의의 음모로 이미 박혀있다.",1
14451,초아랑 배현진 가슴에 품겨보고 싶다 일베의 여신들,3
14452,"@익명0212eb 신기하네

키 같은걸로 구분되는거임?

조선족은 잘먹지만 북한은 못먹으니 키작아서?

나도 탈북자 한번 만나보고 싶노",2
14453,중국 야동 좃나 많은데?ㅋㅋ,2
14454,그새끼 짜빠구리.. 존나 자랑스럽노?,1
14455,하나투어 씨발 양각 잡혔노..,0
14456,북한이냐?ㅋㅋㅋㅋ,2
14457,지구상에 공산국가가 하나 더 생겨부럿네,1
14458,달창들 오늘부터 일베돌이라고 낙인찍고 총공격임,1
14459,비향기도 채워야지,0
14460,딱스터베 ㅁㅈㅎ,0
14461,진짜 시발 공산당새끼들 하는짓 ㅈㄴ드럽네 남의나라 사이트와서 분열이나 쳐시키고 씨발련들,1
14462,느끼는몸 ㅇㅂ,0
14463,@미국세탁소게이 나도 지금 시발 군대에잇다ㅡㅡ 좆같이 공군장교로와서 3년이다 하 좆같노 이거 그냥 사고치고 나가면 나중에 영주권받기전에 걸리는거냐?,2
14464,@익명_706f42 실업=직장을잃다,3
14465,내가 낸 건보료가 ㅜㅜ,1
14466,"통화녹음 하나만 봐도 갤럭시 쓸만함
살면서 돈 문제 여자 문제 기타 사고 등등
다양한 상황에서 녹음을 할 수 없다는게 얼마나 불리한줄 당해보면 알거다
물론 엠창 일게이들은 아무거나 써도 됨",3
14467,"어제 언론에서 삼성 깐다고

그 삼성 공장 다니다가 병걸린사람

존나 내보내더라

내가 그거 처음본게 작년 여름이었는디

지금에서야 9시뉴스에 나옴",1
14468,채연 렌즈지?,3
14469,우리는 경찰을 원하지 여자경찰 을 원하지 않는다.,3
14470,아내가 1500번째ㅇㅂ,3
14471,"기회의 평등 모르냐?

이걸 절대평등 개념에 처박노 ㅋㅋ

대가리 수준인정",1
14472,선택받은 제국 ㅇㅂ 미국이 세계를 지배하고 있어서 다행이다,2
14473,"@모욕고소벌금감별사 화교상권이 우리나라를 장악하지 못한 이유
http://www.ilbe.com/2876997941
2012년 [[[식인종 china]]]

(정보글) 다문화는 다른이 아닌 틀린 정책이다.
http://www.ilbe.com/2363922451
2013년 (BUILD THE WALL)

인터넷의 여론과 실제 여론 사이에 괴리감이 있는 이유
http://www.ilbe.com/3635597556
2014년 [Fake 무당내시 media 드루킹]

(워싱턴=연합뉴스) 이상헌 박경준 기자 대놓고 주작질 하는거 보소.fake news
http://www.ilbe.com/10536211646
2018 [Fake news]

FUTURE PROVES THE PAST.
내가 쓴 글들이다. 읽어봐라. 두번 읽어봐라.",1
14474,"대한민국 방송에 자주 나오는 인간들이네.

언론과 방송사들이 병신인게 저 인간들이 나와서 시청률 하락하는지 모름.

정우성 여자 삼시새끼에 나오는 것 보고

그 피디 개역겹고

이제 안볼라고...",3
14475,"저정도면 국정농단 아니냐?
김정숙 친구라고 저렇게 말도안되는 행동하는거냐?
예전에 고영태 공익제보 의인이라고 같이 사진찍더니
저건 공익제보 아님?
저 여자는 완전히 뿌린대로 거뒀으면 좋겠다.",3
14476,짱깨게임은 정보수집용임ㅋㅋㅋ절대하지 마라 ㅋㅋㅋㅋ너네 짱깨정서가 맞냐?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2
14477,전국민 상대로 배급제 공산주의 교육 중,1
14478,"@박버곰 주작 아니다. 이곳에서 발췌한거다.
http://m.site.naver.com/0vY65",1
14479,"@찐핑이 똥남아는 성욕해소용으로는 ㅅㅌㅊ
결혼하거나 로멘스찾는 놈들은 ㅂㅅ",3
14480,"@초록색잎 예를 들어서 외교부장관이 아들이 주적인 북한사람이라 생각해보자

그럼 북한 관련해서 정상적인 외교를 할수가 있을거같냐?

외교부장관은 그 나라의 외교를 책임지는건데 자식이 다른나라 사람인게 말이 안되지",2
14481,"저거 짱깨들 수법인데

길바닥에 죽은 시체는 확진자가 아니거든 그냥 사망

이미 우한 짱깨들이 우리나라 여기저기 다 다녀서 의미 없는데

계속 중국 방문자 아니면 우한HIV폐렴이 아니라 하네...ㅋㅋㅋㅋㅋ

나같으면 여기저기 존나 퍼트리고 다닐듯한데 너는 착하네",2
14482,차이나 게이트 기사를 쓴 수많은 언론사들이 바보냐? 저렇게 선동을 하는 선동꾼들은 유튜브에 신고해라. 이 참에 CIA에 신고도 하자.,1
14483,알라바마 죠지아 미국공장에도 이제 노조 만들어여 한다,2
14484,홍준표가 답이다,1
14485,@코로문천재앙 니네동네는 안줌? 우린 세대당 10매씩 주던데,1
14486,"@술이나한잔하지 니놈이야말로 머가리가 제대로 안 굴러가는 새끼 아니냐?
돌봄감옥이라는 표현은 자극적인 소재로 만들기 위해 언론에서 쓴 용언데
엄마들이 감옥이라는 표현을 썼다고 어디서 봤노 이기?
좆같다고 생각하는게 나쁜거냐? 힘든건 당연하다매
표현은 언론이 만들었는데 정작 너같은 병신일게이들은 엄한 엄마들을 욕하고 있잖아 불효 마인드 패시브로 장착한 새꺄 ㅋㅋㅋ",1
14487,똥푸산 놈들.. 좆같음..,0
14488,@익명357890 부럽다 시발련아,0
14489,"어쩐지 오늘 조선일보 기사들이 죄다 김빠졌더라니
원래 저런 일엔 축하하는 척하고, 또 하루 정도는 조선일보도 봐주는 척 한다",1
14490,멋쪄! 상남자^^,3
14491,이렇게 줘털었는데 아무것도 안나오면 어떻게 됨?,0
14492,여자의 삶이 저런식으로 다른남자 물며빨며 살아왔는데 어떤남자가 맨정신으로 과거 다 잊어주고 아이갖고 오손도손 행복하게 사냐 한켠으론 마누라 걸레년 좆같이 떼쓰네 아다도아니였으면서 내가 자식때문애 살지 너때문에 사는줄아냐고 싸울일만 남았지,3
14493,틀따다다다다닥~~,0
14494,"시국이 저런데

아직도 검찰개혁외치는애들은 흑우그자체임

이런부류는

사시미든 이연걸 양조위가 팔다리 잘라가도 멋있습니다라고 ㅇㅈㄹ 할새끼들임",1
14495,Bon journno.. ciao@!,0
14496,남편 이제 돈좀 만지니까 딴여자 생각날둣,3
14497,흑흑흑흑흑,0
14498,"@욕안할꺼야 민주당빼면 국민의당,조진핑당 이런곳인데 얘네 뽑아도 된다고? ㅋㅋ 국민의당은 중도표 뺐는 민주당 2중대고 조진핑당은 표갈라먹는 짱깨지령받는 당인데?ㅋㅋ",1
14499,근데 나 조국수호 집회 끝나고 지하철 탄 여자들 봤는데 정말 희한하게 못생겼더라. 먼가 불만많고 고집쎈 못난이 년들....근데 저쪽 애들은 제대로 생긴애들을 못봤어,3
14500,곰탕집 된 ㅇㅂ,3
14501,@익명672540 알았다 이기,0
14502,박근혜 탄핵은 다 일루미나티의 계획아래 중국 자본으로 이뤄진 촌극이지ㅋㅋ,2
14503,개병신새끼 ㅋㅋㅋㅋㅋ,0
14504,"@익명67b5d2 이 새끼 전라도 컨셉 좆같네

가입일 보소

닉네임 목포소년
가입일 2020-02-07 04:16:14
글수 0
댓글수 54
포인트 56
잉여력 2%",0
14505,모르는 사람이 보면 그냥 지나칠듯,0
14506,당직은 남자만 한다며?,3
14507,"@대왕마마23 공산당의 뿌리가 일루미나티고 그뿌리는 적그리스도(반교회집단) 임
처음. 교회집단에 정면으로 반대되는 사상으로 분탕질해서 세력이커짐
그분탕질중 하나가 페미니즘과 동성애임.
교회는 절대권력자가 없음 (신)
반대로 얘넨 절대권력자가 되기위해 기독교를 무너트리려고함 ㅎㅎ
1800년도에 공산주의 사상 처음만든것도 얘네임ㅋㅋ
보수우파vs 공산좌파. = 기독교 vs 사탄주의 , 자유민주주의 = 공산주의
다같은개념이라볼수있음.

(참고로 트럼프 기독교임)",1
14508,"간첩(X)

북한린민(O)",2
14509,양악한거맞냐? 비포랑 에프터랑 똑같은데?,0
14510,제발 싹다 북한으로 넘어갔으면,2
14511,시발진짜 짱깨 조선 좆 븅신같은 수묵화 보다 이게 훨씬찰짐,2
14512,멋있다,0
14513,재들 결국 도망쳤다,0
14514,"1000만마리가 구라가아닐꺼다.
https://www.ilbe.com/view/11242718309
대부분 여기 투입됐을꺼임",1
14515,@좀비없는세상 야 시발 너 똑똑하다 X 곱하기 하는바람에 - 값까지 만들어내네,1
14516,중국한테는 왜 암말도 못함?,2
14517,야 통일전망대 근처박물관선 북한지폐 북한물품 버젓이 팔고있다 ㅋㅋㅋ 작년말에 갔었음,2
